,favorite_count,tweet_id,retweet_count,text
1991-02-08 13:48:08.022790149,2549,666020888022790144,508,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj
1991-02-08 16:08:05.002620928,128,666029285002620928,47,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI
1991-02-08 17:16:52.701032449,125,666033412701032448,44,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR
1991-02-08 20:17:06.329800704,296,666044226329800704,139,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx
1991-02-08 21:40:48.165822465,108,666049248165822464,40,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq
1991-02-08 22:05:58.794694657,132,666050758794694656,59,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe
1991-02-08 22:24:13.826850816,1209,666051853826850816,843,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc
1991-02-08 23:25:25.042405380,433,666055525042405376,246,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt
1991-02-08 23:51:30.499244032,294,666057090499244032,141,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O
1991-02-09 00:16:40.524156928,111,666058600524156928,57,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p
1991-02-09 01:43:47.256086533,471,666063827256086528,216,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK
1991-02-09 03:46:33.221509120,145,666071193221509120,59,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx
1991-02-09 04:18:20.786774016,319,666073100786774016,163,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY
1991-02-09 07:01:56.733198337,116,666082916733198336,44,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7
1991-02-09 10:06:40.022159362,163,666094000022159360,73,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP
1991-02-09 11:38:33.787052032,153,666099513787052032,67,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C
1991-02-09 12:22:35.909144576,80,666102155909144576,12,Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10 https://t.co/11LvqN4WLq
1991-02-09 12:55:33.288665088,14202,666104133288665088,6515,Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10 https://t.co/Asgdc6kuLX
1991-02-11 10:41:50.803644416,102,666268910803644416,35,Very concerned about fellow dog trapped in computer. 10/10 https://t.co/0yxApIikpk
1991-02-11 11:51:37.616637952,174,666273097616637952,76,Can take selfies 11/10 https://t.co/ws2AMaNwPW
1991-02-11 15:50:06.224695296,146,666287406224695296,64,This is an Albanian 3 1/2 legged  Episcopalian. Loves well-polished hardwood flooring. Penis on the collar. 9/10 https://t.co/d9NcXFKwLv
1991-02-11 17:38:31.632134144,497,666293911632134144,352,This is a funny dog. Weird toes. Won't come down. Loves branch. Refuses to eat his food. Hard to cuddle with. 3/10 https://t.co/IIXis0zta0
1991-02-12 05:51:22.303524864,197,666337882303524864,90,This is an extremely rare horned Parthenon. Not amused. Wears shoes. Overall very nice. 9/10 would pet aggressively https://t.co/QpRjllzWAL
1991-02-12 07:56:57.576210432,292,666345417576210432,134,Look at this jokester thinking seat belt laws don't apply to him. Great tongue tho 10/10 https://t.co/VFKG1vxGjB
1991-02-12 10:08:08.456101888,219,666353288456101888,71,Here we have a mixed Asiago from the GalÃ¡pagos Islands. Only one ear working. Big fan of marijuana carpet. 8/10 https://t.co/tltQ5w9aUO
1991-02-12 12:45:58.909284353,773,666362758909284352,565,Unique dog here. Very small. Lives in container of Frosted Flakes (?). Short legs. Must be rare 6/10 would still pet https://t.co/XMD9CwjEnM
1991-02-12 15:49:13.744588802,186,666373753744588800,92,Those are sunglasses and a jean jacket. 11/10 dog cool af https://t.co/uHXrPkUEyl
1991-02-12 22:04:07.373291520,167,666396247373291520,84,Oh goodness. A super rare northeast Qdoba kangaroo mix. Massive feet. No pouch (disappointing). Seems alert. 9/10 https://t.co/Dc7b0E8qFE
1991-02-13 01:05:26.856765440,108,666407126856765440,40,This is a southern Vesuvius bumblegruff. Can drive a truck (wow). Made friends with 5 other nifty dogs (neat). 7/10 https://t.co/LopTBkKa8h
1991-02-13 02:18:27.551481857,441,666411507551481856,324,This is quite the dog. Gets really excited when not in water. Not very soft tho. Bad at fetch. Can't do tricks. 2/10 https://t.co/aMCTNWO94t
1991-02-13 04:19:49.513326592,124,666418789513326592,46,This is Walter. He is an Alaskan Terrapin. Loves outdated bandanas. One ear still working. Cool house plant. 10/10 https://t.co/qXpcwENTvn
1991-02-13 04:59:18.376562688,315,666421158376562688,111,*internally screaming* 12/10 https://t.co/YMcrXC2Y6R
1991-02-13 06:57:56.349472768,165,666428276349472768,83,Here we have an Austrian Pulitzer. Collectors edition. Levitates (?). 7/10 would garden with https://t.co/NMQq6HIglK
1991-02-13 07:38:44.426358785,317,666430724426358784,197,Oh boy what a pup! Sunglasses take this one to the next level. Weirdly folds front legs. Pretty big. 6/10 https://t.co/yECbFrSArM
